IMDB ID,Title,Type of Media,Year,Country,Genre,Awards,Production Company,Rating,Metascore,IMDB Rating,# of Votes
tt0972541,1 More Hit,movie,2007,USA,"Documentary, Music",1 nomination.,N/A,N/A,N/A,5.6,16
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt2247692,2016: Obama's America,movie,2012,USA,Documentary,1 nomination.,Rocky Mountain Pictures,PG,28,5.0,"10,197"
tt0445161,4,movie,2004,"Russia, Netherlands","Drama, Mystery, Sci-Fi",12 wins & 6 nominations.,N/A,Not Rated,72,6.6,"1,920"
tt0118540,4 Little Girls,movie,1997,USA,"Documentary, History",Nominated for 1 Oscar. Another 8 wins & 10 nominations.,HBO Documentary,TV-14,89,7.8,"2,530"
tt0448881,500 Dunam on the Moon,movie,2002,USA,Documentary,N/A,N/A,N/A,N/A,N/A,N/A
tt0444593,500 Years Later,movie,2005,"UK, USA",Documentary,2 wins.,Codeblack TV,Not Rated,N/A,6.8,179
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0446083,10 MPH,movie,2007,USA,Documentary,2 wins.,Spinning Blue,NOT RATED,N/A,6.8,377
tt0819354,10 Questions for the Dalai Lama,movie,2006,USA,Documentary,1 win.,N/A,Unrated,N/A,7.5,712
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt3300980,The 12th Man,movie,2017,Norway,"Drama, History, Thriller, War",N/A,N/A,Unrated,70,7.4,"14,099"
tt5895028,13th,movie,2016,USA,"Documentary, Crime, News",Nominated for 1 Oscar. Another 28 wins & 43 nominations.,Netflix,TV-MA,88,8.2,"20,569"
tt1343385,16 Days in Afghanistan,movie,2007,"Afghanistan, USA",Documentary,N/A,N/A,Not Rated,N/A,7.5,11
tt0468442,51 Birch Street,movie,2005,"Germany, USA",Documentary,1 win & 2 nominations.,Truly Indie,Unrated,77,7.4,773
tt0314014,80 Blocks from Tiffany's,movie,1979,USA,Documentary,N/A,N/A,N/A,N/A,7.8,288
tt1312203,102 Minutes That Changed America,movie,2008,USA,"Documentary, History",Won 3 Primetime Emmys. Another 1 nomination.,N/A,TV-14,N/A,8.3,"2,035"
tt0454587,911: In Plane Site,movie,2004,USA,Documentary,N/A,N/A,N/A,N/A,7.0,"1,359"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0281534,ABC Africa,movie,2001,Iran,Documentary,1 nomination.,New Yorker Films,Unrated,73,7.0,631
