IMDB ID,Title,Type of Media,Year,Country,Genre,Awards,Production Company,Rating,Metascore,IMDB Rating,# of Votes
tt1320304,30 Days of Night: Dark Days,movie,2010,USA,"Horror, Thriller",2 wins.,SPE Acquisitions,R,N/A,4.4,"11,772"
tt0858411,2001 Maniacs: Field of Screams,movie,2010,USA,"Comedy, Horror",N/A,First Look Studios,R,N/A,3.2,"2,161"
tt1753422,Alice in Murderland,movie,2010,USA,"Horror, Thriller",N/A,Sterling Entertainment,Not Rated,N/A,1.8,865
tt1100051,Bereavement,movie,2010,USA,"Crime, Horror, Thriller",4 wins.,Crimson Films,R,N/A,5.1,"6,320"
tt0947798,Black Swan,movie,2010,USA,"Drama, Thriller",Won 1 Oscar. Another 91 wins & 257 nominations.,Fox Searchlight,R,79,8.0,"660,992"
tt1543752,Blood Junkie,movie,2010,USA,"Adventure, Comedy, Horror",N/A,Troma,N/A,N/A,5.7,204
tt1148200,Chain Letter,movie,2009,USA,Horror,N/A,New Films International,R,N/A,4.1,"4,844"
tt0455407,The Crazies,movie,2010,"USA, United Arab Emirates","Horror, Thriller",11 nominations.,Overture Films,R,55,6.5,"106,068"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1408363,Dead Exit,movie,2009,USA,"Short, Action, Horror",1 win & 1 nomination.,N/A,N/A,N/A,7.3,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt2294629,Frozen,movie,2013,USA,"Animation, Adventure, Comedy, Family, Fantasy, Musical",Won 2 Oscars. Another 77 wins & 57 nominations.,Walt Disney Pictures,PG,74,7.5,"527,763"
tt1654833,Hard Ride to Hell,movie,2010,USA,"Action, Horror",N/A,Reunion Pictures,Not Rated,N/A,4.0,"1,026"
tt1270835,Hatchet II,movie,2010,USA,"Action, Comedy, Horror, Thriller",4 nominations.,Dark Sky Films,R,49,5.5,"11,630"
tt1568927,I Am Virgin,movie,2010,USA,Comedy,N/A,N/A,N/A,N/A,2.2,914
tt1242432,I Spit on Your Grave,movie,2010,USA,"Horror, Thriller",2 nominations.,Anchor Bay Films,R,27,6.3,"70,499"
tt1591095,Insidious,movie,2010,"USA, Canada, UK","Horror, Mystery, Thriller",8 wins & 15 nominations.,FilmDistrict,PG-13,52,6.8,"261,028"
tt1594921,L.A. Zombie,movie,2010,"USA, Germany","Adult, Horror",1 win & 1 nomination.,Strand Releasing,Not Rated,N/A,3.5,446
tt1320244,The Last Exorcism,movie,2010,"France, USA","Horror, Mystery, Thriller",7 wins & 10 nominations.,Lionsgate,PG-13,63,5.6,"46,387"
tt1504443,Mongolian Death Worm,movie,2010,USA,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",N/A,Black Chrome Productions,TV-14,N/A,3.3,"1,387"
tt0872230,My Soul to Take,movie,2010,USA,"Horror, Mystery, Thriller",1 nomination.,Universal Pictures,R,25,4.8,"18,767"
tt0087800,A Nightmare on Elm Street,movie,1984,USA,Horror,2 wins & 3 nominations.,New Line Cinema,R,76,7.5,"189,482"
tt1536044,Paranormal Activity 2,movie,2010,USA,Horror,1 win & 2 nominations.,Paramount Pictures,R,53,5.6,"94,696"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1298594,The Presence,movie,2010,USA,"Drama, Horror, Thriller",1 win.,LionsGate Entertainment,PG-13,N/A,4.4,"2,926"
tt1504467,Puppet Master: Axis of Evil,movie,2010,USA,"Fantasy, Horror, Sci-Fi, Thriller, War",N/A,Full Moon,Not Rated,N/A,4.3,"1,260"
tt1093906,The Rig,movie,2010,USA,"Action, Adventure, Horror, Sci-Fi, Thriller",N/A,Anchor Bay Entertainment,R,N/A,3.2,"1,851"
tt0462516,Satan Hates You,movie,2010,USA,Horror,N/A,N/A,Not Rated,N/A,4.6,203
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0942384,Shelter,movie,2007,USA,"Drama, Romance, Sport",11 wins.,Regent Releasing,R,66,7.7,"19,780"
tt1464580,Stake Land,movie,2010,USA,"Drama, Horror, Sci-Fi",2 wins & 11 nominations.,IFC,R,66,6.5,"39,148"
tt0074811,The Tenant,movie,1976,"France, USA","Drama, Thriller",2 nominations.,Paramount Pictures,R,N/A,7.7,"35,107"
tt1129441,ThanksKilling,movie,2009,USA,"Comedy, Horror, Thriller",N/A,Gravitas,Not Rated,N/A,4.2,"3,600"
tt0247141,Tucker,series,2000–2001,USA,Comedy,N/A,NA,N/A,N/A,7.4,298
tt1369706,The Ward,movie,2010,USA,"Horror, Mystery, Thriller",N/A,Arc Entertainment,R,38,5.6,"38,768"
tt0780653,The Wolfman,movie,2010,USA,"Drama, Fantasy, Horror, Thriller",Won 1 Oscar. Another 3 wins & 8 nominations.,Universal Pictures,R,43,5.8,"99,351"
