Title,,
Extraterrestrials in fiction,,
3rd Rock from the Sun ,,
ALF ,,
Alien Nation ,,
Alienators: Evolution Continues ,,
American Horror Story: Asylum ,,
"Andro-Jäger, Der ",,
Ben 10 ,,
Code Name: Eternity ,,
Cybergirl ,,
Defiance ,,
Doctor Who ,,
Doctor Who: Children in Need a.k.a. Born Again ,,
Attack of the Graske ,,
Torchwood ,,
"Sarah Jane Adventures, The ",,
Time Crash ,,
Doctor Who: The Infinite Quest ,,
Music of the Spheres ,,
Doctor Who: Tonight's the Night ,,
Doctor Who: Dreamland ,,
K-9 ,,
Dork Hunters from Outer Space ,,
"Event, The ",,
Hard Time on Planet Earth ,,
Invader Zim ,,
Human Kind Of ,,
Lilo & Stitch ,,
Lilo & Stitch: The Series ,,
Stitch! ,,
Marvin Marvin ,,
Men in Black: The Series a.k.a. Men in Black: The Animated Series a.k.a. MIB: The Series ,,
Monsters vs. Aliens ,,
B.O.B.'s Big Break ,,
Monsters vs. Aliens: Mutant Pumpkins from Outer Space ,,
Night of the Living Carrots ,,
Monsters vs. Aliens a.k.a. MvA ,,
Mork & Mindy ,,
My Favorite Martian ,,
My Favorite Martians ,,
Ocean Girl ,,
"Phoenix, The ",,
"Powers of Matthew Star, The ",,
Roswell ,,
"Roswell Conspiracies: Aliens, Myths and Legends ",,
"Roswell, New Mexico ",,
Sgt. Frog ,,
Solar Opposites ,,
Star-Crossed ,,
Starman ,,
Superman ,,
Smallville ,,
Krypto the Superdog ,,
Superman: The Animated Series ,,
Lois & Clark: The New Adventures of Superman ,,
"Superboy a.k.a. Adventures of Superboy, The ",,
"Superman/Aquaman Hour of Adventure, The ",,
"New Adventures of Superman, The ",,
"Adventures of Superboy, The ",,
Adventures of Superman ,,
Something Is Out There ,,
Steven Universe ,,
Steven Universe: The Movie ,,
Taken ,,
Tracker ,,
Under the Mountain ,,
"Big Pull, The ",,
BrainDead ,,
Captain Scarlet ,,
Captain Scarlet and the Mysterons ,,
Captain Scarlet vs the Mysterons ,,
Revenge of the Mysterons from Mars ,,
Gerry Anderson's New Captain Scarlet a.k.a. New Captain Scarlet ,,
Colony ,,
"Coneheads, The ",,
Dark Skies ,,
Earth: Final Conflict ,,
Falling Skies ,,
"Family's Defensive Alliance, The ",,
First Wave ,,
Fist of the North Star ,,
Fist of the North Star 2 ,,
Legends of the Dark King: A Fist of the North Star Story ,,
Hunters ,,
"Invaders, The ",,
Invaders from Space ,,
Invasion ,,
Invasion America ,,
Invasion: Earth ,,
Kamen Rider ,,
Kamen Rider X ,,
Kamen Rider Amazon ,,
Kamen Rider Stronger ,,
Kamen Rider Super-1 ,,
Birth of the 10th! Kamen Riders All Together!! ,,
Kamen Rider Black ,,
Kamen Rider Black RX ,,
Kamen Rider Kuuga ,,
Kamen Rider Agito ,,
Kamen Rider Ryuki ,,
Kamen Rider 555 ,,
Kamen Rider Blade ,,
Kamen Rider Hibiki ,,
Kamen Rider Kabuto ,,
Kamen Rider Den-O ,,
