IMDB ID,Title,Type of Media,Year,Country,Genre,Awards,Production Company,Rating,Metascore,IMDB Rating,# of Votes
tt1038919,The Bounty Hunter,movie,2010,USA,"Action, Comedy, Romance",4 wins & 5 nominations.,Sony Pictures,PG-13,22,5.6,"114,202"
tt1385867,Cop Out,movie,2010,USA,"Action, Comedy, Crime, Thriller",1 nomination.,Warner Bros. Pictures,R,31,5.6,"82,489"
tt1336617,Cyrus,movie,2010,USA,"Comedy, Drama, Romance",6 nominations.,Fox Searchlight,R,74,6.3,"32,830"
tt1279935,Date Night,movie,2010,USA,"Comedy, Crime, Romance, Thriller",4 wins & 8 nominations.,20th Century Fox,PG-13,56,6.3,"146,296"
tt0795368,Death at a Funeral,movie,2007,"USA, Germany, UK, Netherlands",Comedy,2 wins & 2 nominations.,N/A,R,67,7.4,"103,945"
tt1323594,Despicable Me,movie,2010,"USA, France","Animation, Comedy, Family, Fantasy",Nominated for 1 Golden Globe. Another 3 wins & 40 nominations.,Universal Pictures,PG,72,7.6,"474,013"
tt1196141,Diary of a Wimpy Kid,movie,2010,"USA, UK","Comedy, Drama, Family",5 wins & 9 nominations.,20th Century Fox,PG,56,6.2,"39,266"
tt0427152,Dinner for Schmucks,movie,2010,USA,Comedy,1 nomination.,Paramount Studios,PG-13,56,5.9,"92,949"
tt1231583,Due Date,movie,2010,USA,"Adventure, Comedy",7 nominations.,Warner Bros. Pictures,R,51,6.5,"308,901"
tt1282140,Easy A,movie,2010,USA,"Comedy, Drama, Romance",Nominated for 1 Golden Globe. Another 9 wins & 20 nominations.,Sony Pictures/Screen Gems,PG-13,72,7.1,"337,192"
tt1361313,The Extra Man,movie,2010,"France, USA",Comedy,N/A,Magnolia Pictures,R,56,5.8,"4,627"
tt0817177,Flipped,movie,2010,USA,"Comedy, Drama, Romance",2 wins & 2 nominations.,Warner Bros. Pictures,PG,45,7.7,"76,328"
tt1226229,Get Him to the Greek,movie,2010,USA,"Comedy, Music",14 nominations.,Universal Pictures,R,65,6.4,"162,945"
tt1322312,Going the Distance,movie,2010,USA,"Comedy, Romance",N/A,New Line Cinema,R,51,6.3,"54,963"
tt1234654,Greenberg,movie,2010,USA,"Comedy, Drama, Romance",2 wins & 14 nominations.,Focus Features,R,76,6.1,"34,174"
tt1375670,Grown Ups,movie,2010,USA,Comedy,3 wins & 4 nominations.,Sony Pictures,PG-13,30,5.9,"215,255"
tt1320261,Gulliver's Travels,movie,2010,USA,"Adventure, Comedy, Family, Fantasy",3 nominations.,20th Century Fox,PG,33,4.9,"62,499"
tt1481572,Happythankyoumoreplease,movie,2010,USA,"Comedy, Drama, Romance",1 win & 3 nominations.,Hannover House,R,45,6.8,"28,422"
tt1270835,Hatchet II,movie,2010,USA,"Action, Comedy, Horror, Thriller",4 nominations.,Dark Sky Films,R,49,5.5,"11,630"
tt1403177,Hesher,movie,2010,USA,"Comedy, Crime, Drama",1 win & 1 nomination.,Newmarket Films,R,45,7.0,"49,100"
tt1231587,Hot Tub Time Machine,movie,2010,USA,"Comedy, Sci-Fi",5 nominations.,MGM,R,63,6.4,"156,019"
tt1341188,How Do You Know,movie,2010,USA,"Comedy, Drama, Romance",2 nominations.,Columbia Pictures,PG-13,46,5.4,"41,880"
tt0804497,It's Kind of a Funny Story,movie,2010,USA,"Comedy, Drama, Romance",2 nominations.,Focus Features,PG-13,63,7.1,"127,834"
tt1278379,Jack Goes Boating,movie,2010,USA,"Drama, Romance",1 win & 7 nominations.,Fox Searchlight,R,64,6.4,"7,736"
tt1116184,Jackass 3D,movie,2010,USA,"Documentary, Action, Comedy",1 win & 4 nominations.,Paramount Pictures/MTV Films,R,56,7.0,"54,014"
tt1407061,Just Wright,movie,2010,USA,"Comedy, Romance, Sport",1 win & 11 nominations.,20th Century Fox,PG,51,5.9,"12,698"
tt1523483,Kaboom,movie,2010,"USA, France","Comedy, Mystery, Romance, Sci-Fi, Thriller",1 win & 2 nominations.,IFC Films,Not Rated,64,5.7,"11,940"
tt1103153,Killers,movie,2010,USA,"Action, Comedy, Romance, Thriller",2 wins & 3 nominations.,Lionsgate Films,PG-13,21,5.4,"83,380"
tt1013743,Knight and Day,movie,2010,USA,"Action, Adventure, Comedy",3 nominations.,20th Century Fox,PG-13,46,6.3,"172,193"
tt1055292,Life as We Know It,movie,2010,USA,"Comedy, Drama, Romance",2 nominations.,Warner Bros. Pictures,PG-13,39,6.5,"114,900"
