IMDB ID,Title,Type of Media,Year,Country,Genre,Awards,Production Company,Rating,Metascore,IMDB Rating,# of Votes
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0115082,3rd Rock from the Sun,series,1996–2001,USA,"Comedy, Family, Sci-Fi",Won 2 Golden Globes. Another 34 wins & 73 nominations.,NA,TV-PG,N/A,7.7,"44,014"
tt0090390,ALF,series,1986–1990,USA,"Comedy, Family, Sci-Fi",5 wins & 14 nominations.,NA,TV-G,N/A,7.4,"29,340"
tt0094631,Alien Nation,movie,1988,USA,"Action, Sci-Fi",1 win & 4 nominations.,Twentieth Century Fox Home Entertainment,R,45,6.3,"13,480"
tt0303419,Alienators: Evolution Continues,series,2001–2002,"USA, Japan","Action, Animation, Comedy",N/A,NA,TV-Y7,N/A,6.2,95
tt4146008,American Horror Story: Asylum - Get Committed the Experience,movie,2012,USA,"Short, Horror",N/A,N/A,N/A,N/A,8.3,88
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0760437,Ben 10,series,2005–2008,USA,"Animation, Action, Adventure, Family, Sci-Fi",1 win & 2 nominations.,NA,TV-Y7,N/A,7.1,"10,698"
tt0190174,Code Name: Eternity,series,1999–,"France, Germany, Canada, USA","Action, Adventure, Sci-Fi, Crime",N/A,NA,N/A,N/A,7.1,225
tt0279556,Cybergirl,series,2001–,Australia,"Family, Fantasy, Sci-Fi",1 win.,NA,N/A,N/A,6.9,143
tt1034303,Defiance,movie,2008,USA,"Action, Drama, History, Thriller, War",Nominated for 1 Oscar. Another 2 wins & 4 nominations.,Paramount Vantage,R,58,7.2,"131,355"
tt0436992,Doctor Who,series,2005–,"UK, Canada","Adventure, Drama, Family, Mystery, Sci-Fi",110 wins & 174 nominations.,NA,TV-PG,N/A,8.6,"186,709"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0485301,Torchwood,series,2006–2011,"UK, Canada","Action, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",11 wins & 47 nominations.,NA,TV-MA,N/A,7.7,"36,998"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1129418,Time Crash,movie,2007,UK,"Short, Sci-Fi",N/A,N/A,N/A,N/A,8.5,"1,840"
tt1064739,Doctor Who: The Infinite Quest,movie,2007,UK,"Animation, Adventure, Sci-Fi",N/A,N/A,N/A,N/A,6.8,805
tt0076426,Music of the Spheres,movie,1984,Canada,Sci-Fi,1 win.,N/A,N/A,N/A,7.5,48
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1494933,Doctor Who: Dreamland,series,2009,UK,"Animation, Adventure, Sci-Fi",N/A,NA,N/A,N/A,6.8,872
tt0097637,K-9,movie,1989,USA,"Action, Comedy, Crime",N/A,MCA Universal Home Video,PG-13,44,6.0,"29,918"
tt1380835,Dork Hunters from Outer Space,series,2008–,UK,"Animation, Family, Sci-Fi",N/A,NA,N/A,N/A,5.3,12
tt6173534,Saturday Night's Main Event: The Greatest Hits,movie,1988,USA,Sport,N/A,N/A,N/A,N/A,N/A,N/A
tt0096606,Hard Time on Planet Earth,series,1989,USA,"Action, Adventure, Comedy, Drama, Sci-Fi",2 nominations.,NA,N/A,N/A,7.7,259
tt0235923,Invader ZIM,series,2001–2004,USA,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi",Won 1 Primetime Emmy. Another 2 wins & 7 nominations.,NA,TV-Y,N/A,8.3,"18,504"
tt7665014,Human Kind Of,series,2018–,USA,N/A,N/A,NA,N/A,N/A,8.8,41
tt0275847,Lilo & Stitch,movie,2002,USA,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",Nominated for 1 Oscar. Another 10 wins & 26 nominations.,Buena Vista Distribution Compa,PG,73,7.2,"154,538"
tt0275847,Lilo & Stitch,movie,2002,USA,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",Nominated for 1 Oscar. Another 10 wins & 26 nominations.,Buena Vista Distribution Compa,PG,73,7.2,"154,538"
tt1409066,Stitch!,series,2008–2015,"South Korea, Japan, China","Animation, Comedy, Family, Sci-Fi",N/A,NA,N/A,N/A,4.4,185
tt2453016,Marvin Marvin,series,2012–2013,USA,"Comedy, Family, Sci-Fi",2 nominations.,NA,TV-G,N/A,2.8,"1,754"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0892782,Monsters vs. Aliens,movie,2009,USA,"Animation, Action, Comedy, Family, Sci-Fi, Thriller",3 wins & 9 nominations.,Paramount/Dreamworks Animation,PG,56,6.4,"138,558"
tt1542599,B.O.B.'s Big Break,movie,2009,USA,"Animation, Short, Action, Adventure, Comedy, Family, Sci-Fi",3 nominations.,N/A,TV-PG,N/A,6.3,845
tt1482967,Monsters vs Aliens: Mutant Pumpkins from Outer Space,movie,2009,USA,"Animation, Short, Comedy, Family, Fantasy, Sci-Fi",1 win & 1 nomination.,NBC Universal Television,TV-PG,N/A,6.4,"2,280"
tt2090578,Night of the Living Carrots,movie,2011,USA,"Animation, Short, Comedy, Family, Sci-Fi",N/A,N/A,TV-PG,N/A,6.3,727
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0077053,Mork & Mindy,series,1978–1982,USA,"Comedy, Family, Sci-Fi",Won 1 Golden Globe. Another 4 wins & 12 nominations.,NA,TV-G,N/A,7.1,"8,818"
tt0120764,My Favorite Martian,movie,1999,USA,"Comedy, Family, Sci-Fi",3 nominations.,Walt Disney Productions,PG,33,5.0,"12,227"
tt0128001,My Favorite Martians,series,1973–1975,USA,"Animation, Family",N/A,NA,N/A,N/A,7.9,58
tt0108885,Ocean Girl,series,1994–1997,Australia,"Action, Adventure, Family, Fantasy, Sci-Fi, Thriller",1 win & 3 nominations.,NA,N/A,N/A,7.3,"1,596"
tt0093731,Phoenix the Warrior,movie,1988,USA,"Action, Sci-Fi",N/A,N/A,Not Rated,N/A,3.7,666
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0201391,Roswell,series,1999–2002,USA,"Drama, Mystery, Sci-Fi, Thriller",1 win & 24 nominations.,NA,TV-14,N/A,7.5,"25,670"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt7588054,"Roswell, New Mexico",series,2019–,USA,"Drama, Romance, Sci-Fi",N/A,NA,TV-14,N/A,6.0,"6,410"
tt0434693,Sgt. Frog,series,2004–2011,Japan,"Animation, Comedy, Sci-Fi",1 win & 2 nominations.,NA,TV-Y7,N/A,7.6,524
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt2657262,Star-Crossed,series,2014,USA,"Drama, Romance, Sci-Fi",N/A,NA,N/A,N/A,7.3,"16,203"
tt0088172,Starman,movie,1984,USA,"Romance, Sci-Fi",Nominated for 1 Oscar. Another 1 win & 5 nominations.,Columbia Pictures,PG,71,7.0,"39,979"
tt0078346,Superman,movie,1978,"USA, UK, Canada, Switzerland","Action, Adventure, Drama, Sci-Fi",Nominated for 3 Oscars. Another 17 wins & 18 nominations.,Warner Bros. Pictures,PG,80,7.3,"150,554"
tt0279600,Smallville,series,2001–2011,"USA, Canada","Adventure, Drama, Romance, Sci-Fi",Won 3 Primetime Emmys. Another 30 wins & 155 nominations.,NA,TV-PG,N/A,7.4,"110,860"
tt0437018,Krypto the Superdog,series,2005–2006,USA,"Animation, Action, Comedy, Family, Fantasy, Sci-Fi",N/A,NA,TV-Y,N/A,5.5,805
tt0115378,Superman: The Animated Series,series,1996–2000,USA,"Animation, Action, Adventure, Family, Sci-Fi",2 wins & 10 nominations.,NA,TV-PG,N/A,8.1,"12,593"
tt8161204,LOIS,series,2018,Netherlands,N/A,N/A,NA,N/A,N/A,7.2,17
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0044231,Adventures of Superman,series,1952–1958,USA,"Action, Adventure, Crime, Family, Sci-Fi",1 win & 3 nominations.,NA,TV-G,N/A,7.7,"3,012"
tt0096134,Something Is Out There,series,1988–,"USA, Australia","Action, Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",Nominated for 1 Primetime Emmy. Another 1 nomination.,NA,Not Rated,N/A,6.8,505
tt3061046,Steven Universe,series,2013–,USA,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Musical, Mystery, Sci-Fi",Nominated for 3 Primetime Emmys. Another 10 wins & 20 nominations.,NA,TV-PG,N/A,8.3,"22,331"
tt10515852,Steven Universe: The Movie,movie,2019,USA,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Musical, Mystery, Sci-Fi",N/A,Cartoon Network,TV-PG,N/A,8.1,"2,269"
tt0936501,Taken,movie,2008,"France, USA","Action, Thriller",2 wins & 2 nominations.,20th Century Fox,PG-13,51,7.8,"543,827"
tt1414378,Tracker,movie,2010,"New Zealand, UK","Action, Adventure, Drama, Western",1 nomination.,Kaleidoscope,R,N/A,6.5,"3,556"
tt1275861,Under the Mountain,movie,2009,New Zealand,"Adventure, Drama, Fantasy",3 wins & 5 nominations.,Walt Disney Pictures,PG-13,N/A,4.9,"1,977"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt4877736,BrainDead,series,2016,USA,"Comedy, Drama, Horror, Sci-Fi, Thriller",N/A,NA,TV-14,N/A,8.1,"9,354"
tt0408377,Captain Scarlet,series,2005,UK,"Animation, Action, Sci-Fi",N/A,NA,N/A,N/A,7.5,295
tt0059973,Captain Scarlet and the Mysterons,series,1967–1968,UK,"Animation, Action, Family",N/A,NA,TV-PG,N/A,7.9,"1,079"
tt0352228,Captain Scarlet vs. the Mysterons,movie,1980,UK,"Action, Family, Sci-Fi",N/A,N/A,N/A,N/A,7.6,35
tt1272026,Revenge of the Mysterons from Mars,movie,1981,UK,"Action, Family, Sci-Fi",N/A,N/A,N/A,N/A,4.3,71
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt4209256,Colony,series,2016–2018,USA,"Action, Adventure, Drama, Sci-Fi",4 nominations.,NA,TV-14,N/A,7.4,"26,015"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt2387433,Dark Skies,movie,2013,USA,"Horror, Sci-Fi, Thriller",N/A,The Weinstein Company,PG-13,50,6.3,"66,618"
tt0123816,Earth: Final Conflict,series,1997–2002,"Germany, Canada, USA","Action, Drama, Mystery, Sci-Fi",Nominated for 2 Primetime Emmys. Another 4 wins & 25 nominations.,NA,TV-PG,N/A,6.2,"3,604"
tt1462059,Falling Skies,series,2011–2015,"USA, Canada","Action, Adventure, Drama, Sci-Fi, Thriller",Nominated for 2 Primetime Emmys. Another 3 wins & 30 nominations.,NA,TV-14,N/A,7.2,"83,055"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0160277,First Wave,series,1998–2001,Canada,"Adventure, Drama, Mystery, Sci-Fi, Thriller",Nominated for 1 Primetime Emmy. Another 2 wins & 3 nominations.,NA,N/A,N/A,7.2,"3,006"
tt0142371,Fist of the North Star,movie,1986,Japan,"Animation, Action, Drama, Fantasy",N/A,N/A,Not Rated,N/A,7.3,"5,814"
tt0140181,Fist of the North Star 2,series,1987–1988,Japan,"Animation, Action, Adventure",N/A,NA,N/A,N/A,8.3,386
tt1308847,Legends of the Dark King: A Fist of the North Star Story,series,2008–,Japan,"Animation, Action, Drama",N/A,NA,TV-MA,N/A,6.7,152
tt4983204,Hunters,series,2016–,USA,"Crime, Drama, Sci-Fi, Thriller",1 nomination.,NA,N/A,N/A,5.5,"2,468"
tt0198336,Beloved Invaders: The Ventures,movie,1965,USA,Documentary,N/A,N/A,N/A,N/A,8.8,15
tt0048957,Invaders from Space,movie,1965,"Japan, USA",Sci-Fi,N/A,N/A,N/A,N/A,4.6,233
tt0460651,Invasion,series,2005–2006,USA,"Drama, Horror, Mystery, Romance, Sci-Fi, Thriller",8 nominations.,NA,N/A,N/A,7.4,"11,361"
tt0161718,Invasion America,series,1998–,USA,"Animation, Sci-Fi",Won 1 Primetime Emmy. Another 2 nominations.,NA,UNRATED,N/A,7.8,276
tt0060278,Daleks' Invasion Earth 2150 A.D.,movie,1966,UK,"Family, Sci-Fi",N/A,Columbia Pictures,Not Rated,N/A,6.1,"2,950"
tt0156214,Kamen Rider,series,1971–1973,Japan,"Action, Adventure, Drama, Sci-Fi",N/A,NA,TV-G,N/A,7.9,181
tt0156678,Kamen Rider X,series,1974–,Japan,"Action, Adventure, Drama",N/A,NA,N/A,N/A,5.1,34
tt0156212,Kamen Rider Amazon,series,1974–1975,Japan,"Action, Adventure, Drama",N/A,NA,N/A,N/A,5.9,44
tt0156672,Kamen Rider Stronger,series,1975–,Japan,"Action, Adventure, Drama",N/A,NA,N/A,N/A,4.8,34
tt0156673,Kamen Rider Super-1,series,1980–1981,Japan,"Action, Adventure, Drama",N/A,NA,N/A,N/A,4.2,28
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0156213,Kamen Rider Black,series,1987–1988,Japan,"Action, Adventure, Drama, Sci-Fi",N/A,NA,N/A,N/A,8.2,319
tt0151178,Kamen Rider Black RX,series,1988–1989,"Japan, Canada","Action, Adventure, Drama",N/A,NA,N/A,N/A,8.2,145
tt0188340,Kamen Rider Kuuga,series,2000–2001,Japan,"Action, Drama, Sci-Fi",N/A,NA,N/A,N/A,8.0,201
tt0346311,Kamen Rider Agito,series,2001–2002,Japan,"Action, Drama, Horror",N/A,NA,N/A,N/A,8.0,164
tt0419343,Kamen Rider Ryuki,series,2002–2003,Japan,"Action, Adventure, Fantasy",N/A,NA,N/A,N/A,7.6,233
tt2139913,Kamen Rider 555: Paradise Lost,movie,2003,Japan,"Action, Drama, Sci-Fi",N/A,N/A,N/A,N/A,6.5,80
tt1491939,Kamen Rider Blade,series,2004–2005,Japan,Action,N/A,NA,N/A,N/A,7.2,79
tt0454653,Kamen Rider Hibiki,series,2005–2006,Japan,Action,N/A,NA,N/A,N/A,7.4,78
tt0875947,Kamen Rider Kabuto,series,2006–2007,Japan,"Action, Sci-Fi",N/A,NA,N/A,N/A,7.9,144
tt0997404,Kamen Rider Den-O,series,2007–,Japan,"Animation, Fantasy, Sci-Fi",N/A,NA,N/A,N/A,7.5,240
tt1526067,Kamen Rider Kiva,series,2008–2009,Japan,"Action, Drama",N/A,NA,N/A,N/A,7.5,117
tt1473235,Kamen Rider Decade,series,2009–,Japan,Action,N/A,NA,N/A,N/A,6.7,118
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0144296,Masked Rider,series,1995–1996,"France, USA",Sci-Fi,N/A,NA,N/A,N/A,6.5,287
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt1825371,Kamen Rider OOO,series,2010–2011,"Japan, South Korea","Action, Sci-Fi",N/A,NA,TV-PG,N/A,7.9,307
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt3358020,Parasyte: The Maxim,series,2014–2015,Japan,"Animation, Action, Horror, Romance, Sci-Fi, Thriller",1 win & 3 nominations.,NA,TV-MA,N/A,8.4,"18,597"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tt0077065,Project U.F.O.,series,1978–1979,USA,Sci-Fi,N/A,NA,N/A,N/A,7.3,243
tt0085099,Terrahawks,series,1983–1986,UK,"Family, Sci-Fi",2 nominations.,NA,N/A,N/A,7.2,566
